ID,Nama,Kelas,Al_Quran_Iqro,Hafalan_Surat_Pendek,Hafalan_Doa,Hafalan_Ayat_Pilihan,Bahasa_Arab,Bahasa_Inggris,Khat_Menulis,Menggambar_Mewarnai,Jasmani_Kesehatan,Kreativitas_Keaktifan,Ulumul_Quran,Kemampuan_Berbahasa,Rata_Rata,Kategori
47,Siswa_47,I.1,42,47,59,44,64,45,45,53,51,44,62,48,50.333333333333336,BB
48,Siswa_48,I.4,80,88,68,70,80,73,80,71,76,65,78,83,76.0,BSH
49,Siswa_49,I.5,75,78,81,74,72,83,87,84,85,74,83,77,79.41666666666667,BSH
50,Siswa_50,I.4,94,82,92,83,96,87,80,86,96,90,86,92,88.66666666666667,BSB
51,Siswa_51,I.1,70,76,74,80,80,82,70,68,75,82,77,73,75.58333333333333,BSH
52,Siswa_52,I.1,58,55,49,55,44,55,42,52,49,59,59,45,51.833333333333336,BB
53,Siswa_53,I.2,71,80,77,85,87,76,76,76,75,85,75,69,77.66666666666667,BSH
54,Siswa_54,I.4,83,67,75,69,74,71,81,81,76,77,83,74,75.91666666666667,BSH
55,Siswa_55,I.1,81,78,77,71,80,71,78,75,69,89,79,77,77.08333333333333,BSH
56,Siswa_56,I.1,91,99,95,85,90,87,97,84,87,90,94,90,90.75,BSB
57,Siswa_57,I.5,60,58,70,62,68,61,66,70,72,60,68,58,64.41666666666667,MB
58,Siswa_58,I.3,100,100,94,84,100,89,100,91,100,91,85,86,93.33333333333333,BSB
59,Siswa_59,I.3,71,82,81,87,74,78,74,79,85,78,73,81,78.58333333333333,BSH
60,Siswa_60,I.2,98,92,100,93,87,98,89,100,93,92,89,94,93.75,BSB
61,Siswa_61,I.5,82,65,83,76,71,78,84,83,68,65,76,72,75.25,BSH
62,Siswa_62,I.5,44,56,47,48,43,41,39,46,56,48,46,44,46.5,BB
63,Siswa_63,I.1,100,89,83,92,88,89,91,93,84,100,92,83,90.33333333333333,BSB
64,Siswa_64,I.5,70,76,76,69,71,80,85,82,79,72,82,69,75.91666666666667,BSH
65,Siswa_65,I.1,53,50,54,59,57,39,42,56,55,57,46,55,51.916666666666664,BB
66,Siswa_66,I.3,82,85,71,71,70,81,76,73,80,86,79,79,77.75,BSH
67,Siswa_67,I.2,68,67,69,64,59,66,64,65,62,59,64,57,63.666666666666664,MB
68,Siswa_68,I.4,95,93,96,93,83,90,100,83,98,89,98,85,91.91666666666667,BSB
69,Siswa_69,I.2,77,71,74,76,75,71,73,81,73,74,79,86,75.83333333333333,BSH
70,Siswa_70,I.2,89,90,84,91,90,97,94,91,86,100,89,92,91.08333333333333,BSB
71,Siswa_71,I.3,75,72,79,80,82,67,80,83,69,83,72,76,76.5,BSH
72,Siswa_72,I.3,97,95,93,92,95,96,90,100,89,94,96,97,94.5,BSB
73,Siswa_73,I.1,53,57,46,45,49,59,50,36,45,58,54,45,49.75,BB
74,Siswa_74,I.1,52,53,62,61,53,48,44,49,50,53,47,54,52.166666666666664,BB
75,Siswa_75,I.2,63,57,60,64,64,64,71,67,63,59,60,61,62.75,MB
76,Siswa_76,I.1,94,86,90,85,86,99,100,87,89,85,99,87,90.58333333333333,BSB
77,Siswa_77,I.5,82,75,75,74,72,77,87,74,80,72,80,80,77.33333333333333,BSH
78,Siswa_78,I.5,78,74,79,74,74,73,77,75,80,81,73,73,75.91666666666667,BSH
79,Siswa_79,I.3,70,73,82,86,70,76,74,82,87,84,79,70,77.75,BSH
80,Siswa_80,I.4,93,93,100,92,89,93,93,98,98,93,85,96,93.58333333333333,BSB
81,Siswa_81,I.1,89,79,75,66,71,77,72,76,73,71,73,73,74.58333333333333,BSH
82,Siswa_82,I.1,88,96,100,100,82,93,95,83,94,93,91,98,92.75,BSB
83,Siswa_83,I.3,69,74,87,76,72,75,71,66,79,79,83,73,75.33333333333333,BSH
84,Siswa_84,I.2,92,86,94,100,83,95,93,88,92,96,96,86,91.75,BSB
85,Siswa_85,I.5,83,100,89,93,93,89,96,83,94,99,95,99,92.75,BSB
86,Siswa_86,I.3,93,83,98,100,93,99,90,98,100,85,92,92,93.58333333333333,BSB
87,Siswa_87,I.1,70,65,61,70,64,71,71,66,60,63,58,60,64.91666666666667,MB
88,Siswa_88,I.2,59,58,51,45,52,44,38,41,43,47,48,40,47.166666666666664,BB
89,Siswa_89,I.5,75,71,80,70,81,74,74,81,72,81,79,70,75.66666666666667,BSH
90,Siswa_90,I.2,64,64,59,72,72,68,62,64,65,72,66,65,66.08333333333333,MB
91,Siswa_91,I.2,55,59,40,45,46,51,51,59,54,44,60,53,51.416666666666664,BB
92,Siswa_92,I.2,100,92,90,92,96,100,83,81,95,93,92,100,92.83333333333333,BSB
93,Siswa_93,I.1,100,100,93,100,87,98,100,90,85,90,87,88,93.16666666666667,BSB
94,Siswa_94,I.1,87,91,91,86,98,86,91,91,96,96,86,90,90.75,BSB
95,Siswa_95,I.4,38,46,43,53,61,40,40,60,43,49,60,48,48.416666666666664,BB
96,Siswa_96,I.4,92,97,96,99,89,100,89,100,83,100,87,95,93.91666666666667,BSB
97,Siswa_97,I.1,43,47,42,40,54,48,47,37,50,47,62,55,47.666666666666664,BB
98,Siswa_98,I.5,70,69,67,68,63,58,65,70,66,62,65,66,65.75,MB
99,Siswa_99,I.1,79,71,79,75,79,87,72,79,74,79,82,74,77.5,BSH
100,Siswa_100,I.5,61,61,60,66,57,65,67,70,70,63,72,69,65.08333333333333,MB
101,Siswa_101,I.3,54,52,42,39,53,44,45,51,50,56,47,44,48.083333333333336,BB
102,Siswa_102,I.4,97,95,100,100,84,89,83,95,95,88,92,97,92.91666666666667,BSB
103,Siswa_103,I.2,99,88,94,82,97,86,84,82,92,95,98,88,90.41666666666667,BSB
104,Siswa_104,I.5,63,63,66,65,70,67,63,61,62,64,66,72,65.16666666666667,MB
105,Siswa_105,I.2,99,91,93,89,91,95,83,100,81,99,86,99,92.16666666666667,BSB
106,Siswa_106,I.2,99,88,94,83,90,94,98,91,81,99,86,84,90.58333333333333,BSB
107,Siswa_107,I.5,84,69,85,69,76,72,82,80,86,81,81,72,78.08333333333333,BSH
108,Siswa_108,I.3,79,77,70,76,88,79,72,76,74,77,76,75,76.58333333333333,BSH
109,Siswa_109,I.4,72,75,77,75,67,74,74,84,73,80,84,76,75.91666666666667,BSH
110,Siswa_110,I.2,66,61,57,59,65,68,60,63,68,68,69,55,63.25,MB
111,Siswa_111,I.1,72,81,76,83,80,66,86,81,80,79,72,73,77.41666666666667,BSH
112,Siswa_112,I.3,67,65,66,63,66,63,61,71,62,64,64,65,64.75,MB
113,Siswa_113,I.2,50,57,54,49,53,48,56,58,51,58,36,58,52.333333333333336,BB
114,Siswa_114,I.4,44,47,53,38,53,54,57,52,50,51,38,53,49.166666666666664,BB
115,Siswa_115,I.2,45,51,40,39,54,43,62,47,51,42,57,55,48.833333333333336,BB
116,Siswa_116,I.1,74,72,72,82,83,75,80,72,77,71,77,80,76.25,BSH
117,Siswa_117,I.2,80,73,85,69,82,77,71,75,74,76,70,84,76.33333333333333,BSH
118,Siswa_118,I.4,52,35,42,55,49,56,52,42,46,52,58,51,49.166666666666664,BB
119,Siswa_119,I.2,100,95,95,100,93,96,92,88,86,90,93,91,93.25,BSB
120,Siswa_120,I.3,62,68,63,62,66,63,64,62,65,64,62,70,64.25,MB
121,Siswa_121,I.3,66,60,64,63,74,70,71,69,65,70,61,64,66.41666666666667,MB
122,Siswa_122,I.1,71,73,81,76,74,80,77,76,80,71,73,72,75.33333333333333,BSH
123,Siswa_123,I.2,86,79,69,85,81,74,73,69,80,74,73,86,77.41666666666667,BSH
124,Siswa_124,I.5,39,49,63,59,55,36,62,48,62,55,48,35,50.916666666666664,BB
125,Siswa_125,I.4,44,50,46,47,61,42,36,57,52,54,59,56,50.333333333333336,BB
126,Siswa_126,I.5,90,92,99,100,99,87,86,93,84,87,97,89,91.91666666666667,BSB
127,Siswa_127,I.4,66,80,74,74,85,72,76,69,80,71,79,78,75.33333333333333,BSH
128,Siswa_128,I.1,69,67,66,61,70,68,73,58,65,64,69,66,66.33333333333333,MB
129,Siswa_129,I.3,68,60,58,59,62,65,65,62,63,61,56,68,62.25,MB
130,Siswa_130,I.3,89,90,85,92,96,92,96,93,87,88,82,85,89.58333333333333,BSB
131,Siswa_131,I.4,90,100,99,88,100,91,95,97,89,92,98,98,94.75,BSB
132,Siswa_132,I.1,68,68,70,65,62,62,65,70,67,68,64,59,65.66666666666667,MB
133,Siswa_133,I.1,61,57,62,67,56,66,66,73,68,66,65,65,64.33333333333333,MB
134,Siswa_134,I.3,55,46,49,51,51,58,56,43,53,42,42,49,49.583333333333336,BB
135,Siswa_135,I.4,49,56,56,47,51,49,37,50,56,41,48,41,48.416666666666664,BB
136,Siswa_136,I.5,78,78,84,78,75,85,76,67,75,79,81,82,78.16666666666667,BSH
137,Siswa_137,I.3,55,55,51,37,46,56,49,55,42,46,38,48,48.166666666666664,BB
138,Siswa_138,I.5,95,97,95,99,90,89,93,95,97,91,83,94,93.16666666666667,BSB
139,Siswa_139,I.3,88,87,98,90,90,98,92,88,86,96,86,84,90.25,BSB
140,Siswa_140,I.1,85,74,77,86,76,79,82,84,70,81,78,73,78.75,BSH
141,Siswa_141,I.4,97,96,100,90,100,91,90,88,92,96,95,89,93.66666666666667,BSB
142,Siswa_142,I.5,67,61,63,61,73,66,68,72,63,64,58,69,65.41666666666667,MB
143,Siswa_143,I.3,95,91,100,94,95,90,94,98,90,94,99,94,94.5,BSB
144,Siswa_144,I.5,55,60,65,67,63,62,65,70,62,65,70,72,64.66666666666667,MB
145,Siswa_145,I.5,62,63,62,60,67,73,65,56,57,61,69,69,63.666666666666664,MB
146,Siswa_146,I.3,85,82,79,74,72,79,77,68,79,82,79,74,77.5,BSH
147,Siswa_147,I.3,73,71,83,80,75,76,76,80,74,82,79,85,77.83333333333333,BSH
148,Siswa_148,I.2,89,100,91,100,93,83,85,94,88,95,98,98,92.83333333333333,BSB
149,Siswa_149,I.3,65,66,59,71,63,71,65,61,73,63,60,60,64.75,MB
150,Siswa_150,I.5,97,83,91,93,97,81,95,92,96,92,88,89,91.16666666666667,BSB
151,Siswa_151,I.1,84,77,77,75,87,68,79,71,72,74,80,87,77.58333333333333,BSH
152,Siswa_152,I.2,60,73,67,68,62,74,63,68,71,63,65,56,65.83333333333333,MB
153,Siswa_153,I.2,65,74,68,61,58,66,67,65,63,62,56,66,64.25,MB
154,Siswa_154,I.4,71,75,83,72,74,77,84,81,84,77,81,74,77.75,BSH
155,Siswa_155,I.5,89,89,93,90,89,100,88,91,100,97,83,80,90.75,BSB
156,Siswa_156,I.4,68,64,70,63,62,60,72,69,68,67,65,68,66.33333333333333,MB
157,Siswa_157,I.1,71,73,58,71,61,73,66,67,64,62,65,74,67.08333333333333,MB
158,Siswa_158,I.3,85,95,89,100,97,87,86,84,98,99,85,82,90.58333333333333,BSB
159,Siswa_159,I.5,56,47,55,54,44,54,52,40,52,63,50,57,52.0,BB
160,Siswa_160,I.1,55,38,37,62,57,51,50,44,49,54,56,43,49.666666666666664,BB
161,Siswa_161,I.1,82,75,71,85,77,77,77,81,80,87,78,77,78.91666666666667,BSH
162,Siswa_162,I.3,100,89,91,98,97,84,83,88,92,100,86,95,91.91666666666667,BSB
163,Siswa_163,I.3,72,75,83,71,79,78,83,77,74,68,71,77,75.66666666666667,BSH
164,Siswa_164,I.1,70,79,72,81,81,65,78,79,79,83,73,85,77.08333333333333,BSH
165,Siswa_165,I.5,95,94,90,96,98,97,96,98,87,91,96,88,93.83333333333333,BSB
166,Siswa_166,I.4,58,62,67,62,61,58,65,67,64,62,60,62,62.333333333333336,MB
167,Siswa_167,I.5,76,87,72,67,69,66,81,87,69,80,80,72,75.5,BSH
168,Siswa_168,I.3,72,84,76,71,84,81,74,77,79,82,74,81,77.91666666666667,BSH
169,Siswa_169,I.5,70,60,74,74,65,69,63,63,70,58,65,67,66.5,MB
170,Siswa_170,I.5,62,59,66,62,62,63,71,64,64,65,63,65,63.833333333333336,MB
171,Siswa_171,I.3,61,67,66,60,74,62,64,59,66,64,67,55,63.75,MB
172,Siswa_172,I.4,62,67,57,65,57,60,59,70,56,62,68,58,61.75,MB
173,Siswa_173,I.3,99,95,92,89,95,99,93,81,88,91,96,96,92.83333333333333,BSB
174,Siswa_174,I.1,97,93,90,97,98,91,100,95,93,100,90,97,95.08333333333333,BSB
175,Siswa_175,I.2,52,53,51,60,48,58,50,54,48,44,56,56,52.5,BB
176,Siswa_176,I.1,95,100,90,92,94,96,88,84,88,99,100,93,93.25,BSB
177,Siswa_177,I.4,100,85,90,93,84,87,85,94,88,85,85,85,88.41666666666667,BSB
178,Siswa_178,I.2,69,65,65,63,59,73,62,66,66,60,65,67,65.0,MB
179,Siswa_179,I.5,90,89,97,89,94,97,97,97,98,90,98,89,93.75,BSB
180,Siswa_180,I.2,59,64,62,72,72,69,63,66,64,72,65,67,66.25,MB
181,Siswa_181,I.3,74,65,76,80,81,74,71,74,75,80,82,72,75.33333333333333,BSH
182,Siswa_182,I.4,47,39,47,51,42,49,52,48,40,48,40,56,46.583333333333336,BB
183,Siswa_183,I.5,88,76,81,76,72,72,79,82,73,81,70,86,78.0,BSH
184,Siswa_184,I.4,42,56,41,64,53,37,43,39,63,51,54,58,50.083333333333336,BB
185,Siswa_185,I.5,71,62,64,65,58,71,61,57,63,63,68,72,64.58333333333333,MB
186,Siswa_186,I.4,77,77,74,74,76,85,81,83,78,89,76,87,79.75,BSH
187,Siswa_187,I.2,95,93,88,90,86,96,97,90,99,92,98,97,93.41666666666667,BSB
188,Siswa_188,I.4,63,63,66,71,61,65,61,62,70,64,57,71,64.5,MB
189,Siswa_189,I.2,72,73,66,77,79,80,71,74,70,79,71,79,74.25,BSH
190,Siswa_190,I.2,93,91,98,100,100,84,91,89,98,89,86,98,93.08333333333333,BSB
191,Siswa_191,I.4,89,93,100,86,88,86,93,93,89,100,90,90,91.41666666666667,BSB
192,Siswa_192,I.4,76,79,77,79,80,80,71,81,71,71,77,75,76.41666666666667,BSH
193,Siswa_193,I.5,67,64,67,56,63,66,67,65,63,64,67,68,64.75,MB
194,Siswa_194,I.2,91,95,100,95,94,89,92,95,93,100,87,87,93.16666666666667,BSB
195,Siswa_195,I.5,61,67,66,70,72,65,69,59,62,69,62,67,65.75,MB
196,Siswa_196,I.5,70,81,74,80,77,76,75,84,84,75,83,75,77.83333333333333,BSH
197,Siswa_197,I.4,63,59,65,71,66,63,65,64,67,65,71,69,65.66666666666667,MB
198,Siswa_198,I.2,98,100,98,89,88,98,100,87,88,96,100,95,94.75,BSB
199,Siswa_199,I.5,97,93,100,98,100,84,86,93,91,97,95,92,93.83333333333333,BSB
200,Siswa_200,I.2,85,93,97,82,90,87,95,89,99,99,98,99,92.75,BSB
201,Siswa_201,I.4,54,59,48,55,39,58,54,56,49,61,54,53,53.333333333333336,BB
202,Siswa_202,I.2,83,79,70,85,77,78,85,86,72,79,87,68,79.08333333333333,BSH
203,Siswa_203,I.2,55,55,41,55,39,49,37,51,61,46,45,41,47.916666666666664,BB
204,Siswa_204,I.2,51,58,59,60,49,57,60,43,48,54,52,51,53.5,BB
205,Siswa_205,I.3,74,86,75,68,79,82,71,71,73,80,71,79,75.75,BSH
206,Siswa_206,I.1,43,59,44,46,53,62,48,46,44,45,55,40,48.75,BB
207,Siswa_207,I.5,93,92,93,89,94,99,97,99,97,86,87,97,93.58333333333333,BSB
208,Siswa_208,I.2,80,83,71,76,78,73,72,73,82,78,79,88,77.75,BSH
209,Siswa_209,I.3,80,88,70,72,77,65,84,78,74,80,68,76,76.0,BSH
210,Siswa_210,I.5,97,88,98,90,100,84,100,96,95,96,86,100,94.16666666666667,BSB
211,Siswa_211,I.1,83,90,88,96,92,98,92,91,87,90,84,91,90.16666666666667,BSB
212,Siswa_212,I.4,76,79,77,85,70,85,86,85,77,75,81,79,79.58333333333333,BSH
213,Siswa_213,I.1,68,59,62,64,65,69,66,72,70,58,57,65,64.58333333333333,MB
214,Siswa_214,I.5,60,67,66,69,66,67,62,68,60,58,61,66,64.16666666666667,MB
215,Siswa_215,I.5,47,46,55,53,41,52,44,40,42,46,52,48,47.166666666666664,BB
216,Siswa_216,I.2,52,58,53,55,59,49,51,45,39,52,47,55,51.25,BB
217,Siswa_217,I.4,66,72,67,63,66,58,70,72,61,66,67,68,66.33333333333333,MB
218,Siswa_218,I.3,65,65,69,63,57,61,62,59,69,56,66,66,63.166666666666664,MB
219,Siswa_219,I.2,79,82,76,85,77,80,68,77,76,83,80,75,78.16666666666667,BSH
220,Siswa_220,I.4,78,75,78,88,78,77,74,67,81,70,78,76,76.66666666666667,BSH
221,Siswa_221,I.4,37,52,53,39,46,35,46,55,60,42,58,57,48.333333333333336,BB
222,Siswa_222,I.3,86,91,94,86,94,95,94,87,92,93,93,90,91.25,BSB
223,Siswa_223,I.2,67,72,65,66,62,71,60,64,64,59,57,69,64.66666666666667,MB
224,Siswa_224,I.5,72,86,84,76,74,68,77,77,69,84,87,74,77.33333333333333,BSH
225,Siswa_225,I.1,40,48,44,40,60,52,39,51,46,52,54,54,48.333333333333336,BB
226,Siswa_226,I.1,65,58,62,65,72,73,65,63,64,62,61,65,64.58333333333333,MB
227,Siswa_227,I.2,92,98,83,82,100,97,83,83,89,92,96,100,91.25,BSB
228,Siswa_228,I.1,92,97,95,94,100,100,100,98,95,98,84,88,95.08333333333333,BSB
229,Siswa_229,I.5,58,50,39,58,62,58,40,42,42,59,39,51,49.833333333333336,BB
230,Siswa_230,I.2,82,78,86,68,75,65,76,78,82,80,79,75,77.0,BSH
231,Siswa_231,I.1,58,67,67,61,64,66,62,60,61,62,72,67,63.916666666666664,MB
232,Siswa_232,I.2,48,56,54,39,41,60,46,59,50,43,41,49,48.833333333333336,BB
233,Siswa_233,I.5,81,77,79,74,70,81,77,84,76,83,75,79,78.0,BSH
234,Siswa_234,I.1,68,84,77,75,76,75,75,73,85,74,80,74,76.33333333333333,BSH
235,Siswa_235,I.4,94,88,91,85,89,95,81,93,84,96,93,91,90.0,BSB
236,Siswa_236,I.5,49,48,43,58,62,62,53,48,52,49,43,49,51.333333333333336,BB
237,Siswa_237,I.4,45,47,53,61,46,52,45,51,58,54,53,55,51.666666666666664,BB
238,Siswa_238,I.1,95,87,91,91,96,92,86,88,96,97,91,95,92.08333333333333,BSB
239,Siswa_239,I.3,81,83,76,87,71,86,84,83,70,80,78,78,79.75,BSH
240,Siswa_240,I.1,92,95,82,98,91,100,95,95,96,88,99,91,93.5,BSB
241,Siswa_241,I.2,89,93,85,99,100,85,96,93,95,95,84,100,92.83333333333333,BSB
242,Siswa_242,I.2,100,88,100,95,92,82,81,88,97,96,95,99,92.75,BSB
243,Siswa_243,I.4,63,63,58,69,59,62,63,64,66,67,60,58,62.666666666666664,MB
244,Siswa_244,I.3,48,60,42,44,45,41,44,47,45,54,64,42,48.0,BB
245,Siswa_245,I.1,49,54,57,56,49,46,42,57,47,44,39,56,49.666666666666664,BB
246,Siswa_246,I.3,77,77,78,82,78,82,68,75,81,68,71,79,76.33333333333333,BSH
247,Siswa_247,I.4,100,93,99,90,98,87,88,100,87,89,93,92,93.0,BSB
248,Siswa_248,I.1,77,81,74,72,78,80,76,78,72,80,79,79,77.16666666666667,BSH
249,Siswa_249,I.4,94,100,82,87,98,92,96,100,96,92,94,99,94.16666666666667,BSB
250,Siswa_250,I.1,75,71,78,77,68,79,68,71,77,82,77,69,74.33333333333333,BSH
251,Siswa_251,I.4,83,79,80,75,77,82,81,85,75,80,84,79,80.0,BSH
252,Siswa_252,I.3,68,82,79,75,75,74,87,82,71,84,80,77,77.83333333333333,BSH
253,Siswa_253,I.4,74,73,74,71,81,76,68,73,77,76,66,70,73.25,BSH
254,Siswa_254,I.1,75,79,81,74,84,67,79,74,80,84,73,79,77.41666666666667,BSH
255,Siswa_255,I.3,91,96,92,100,85,93,99,95,81,93,99,82,92.16666666666667,BSB
256,Siswa_256,I.3,60,48,49,55,61,48,59,48,55,45,43,57,52.333333333333336,BB
257,Siswa_257,I.5,52,45,39,40,54,51,44,58,51,53,51,57,49.583333333333336,BB
258,Siswa_258,I.5,84,70,71,78,85,87,83,79,78,68,74,72,77.41666666666667,BSH
259,Siswa_259,I.2,98,94,91,92,98,93,95,92,88,98,95,100,94.5,BSB
260,Siswa_260,I.5,77,73,69,84,76,78,78,72,80,71,82,78,76.5,BSH
261,Siswa_261,I.3,87,89,95,100,92,98,86,89,89,81,90,81,89.75,BSB
262,Siswa_262,I.5,80,74,85,73,79,78,88,78,87,73,77,68,78.33333333333333,BSH
263,Siswa_263,I.1,92,87,86,85,99,84,92,84,97,95,91,91,90.25,BSB
264,Siswa_264,I.5,70,81,65,75,79,71,67,75,65,81,76,73,73.16666666666667,BSH
265,Siswa_265,I.3,65,65,62,65,60,64,62,65,67,56,59,58,62.333333333333336,MB
266,Siswa_266,I.5,89,96,100,100,84,91,99,98,100,99,86,100,95.16666666666667,BSB
267,Siswa_267,I.4,89,95,87,97,89,97,89,91,100,96,90,97,93.08333333333333,BSB
268,Siswa_268,I.1,64,62,64,60,64,68,64,61,64,63,60,71,63.75,MB
269,Siswa_269,I.1,66,63,66,60,65,71,73,66,66,72,71,62,66.75,MB
270,Siswa_270,I.1,36,41,53,50,59,47,42,45,42,56,38,48,46.416666666666664,BB
271,Siswa_271,I.3,49,53,45,46,54,49,45,45,52,39,50,52,48.25,BB
272,Siswa_272,I.4,57,69,68,62,60,70,70,66,66,68,61,59,64.66666666666667,MB
273,Siswa_273,I.5,64,64,67,63,61,61,59,65,67,67,59,66,63.583333333333336,MB
274,Siswa_274,I.1,59,58,62,58,62,68,64,60,61,63,55,61,60.916666666666664,MB
275,Siswa_275,I.2,70,72,70,83,75,84,77,78,85,74,86,76,77.5,BSH
276,Siswa_276,I.5,61,65,69,64,65,66,59,66,66,59,61,71,64.33333333333333,MB
277,Siswa_277,I.2,70,82,78,80,78,81,85,66,82,82,81,76,78.41666666666667,BSH
278,Siswa_278,I.3,73,65,56,65,59,70,62,65,66,71,65,71,65.66666666666667,MB
279,Siswa_279,I.1,77,78,75,80,78,80,83,79,76,70,82,81,78.25,BSH
280,Siswa_280,I.3,80,89,77,83,79,78,68,80,65,73,72,81,77.08333333333333,BSH
281,Siswa_281,I.3,61,68,61,63,59,63,65,72,65,64,64,69,64.5,MB
282,Siswa_282,I.1,44,57,53,45,51,58,58,46,49,44,39,61,50.416666666666664,BB
283,Siswa_283,I.3,69,67,84,78,77,72,73,82,67,76,70,76,74.25,BSH
284,Siswa_284,I.2,69,78,72,76,81,77,79,76,73,69,69,69,74.0,BSH
285,Siswa_285,I.1,70,65,62,64,64,68,66,66,60,67,73,63,65.66666666666667,MB
286,Siswa_286,I.3,84,81,70,74,77,70,73,73,80,74,89,70,76.25,BSH
287,Siswa_287,I.4,80,100,92,95,100,90,87,98,98,90,94,91,92.91666666666667,BSB
288,Siswa_288,I.3,94,96,87,99,100,90,97,94,93,92,98,84,93.66666666666667,BSB
289,Siswa_289,I.1,75,75,73,71,82,73,86,78,76,83,67,66,75.41666666666667,BSH
